name,numbers
Weekly Services,52
Bi-Weekly Services (Twice A Month),24
Monthly Services,12
Twice A Year Services,2
One Yearly Service,1
Quarterly Services,4
Bi-Monthly (Each Two Month),6
Twice A Month,24
One Time Service,0
Tri-Annual (Three Times A Year),3
Five Times A Year,5
As mentioned in remarks field,0
Monthly Visits With Quarterly Routine Service,4
Monthly Visits With Twicely Routine Service,2
Monthly Services in one year ,0
Quarterly Services ( 4 Visits a year ),4
Monthly Service (12 Times A year),0
